2025-07-05 21:35:54 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-05 21:35:54 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-05 21:35:54 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-05 21:35:54 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-05 21:35:54 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-05 21:35:54 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-05 21:35:54 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-05 21:35:54 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-05 21:35:55 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-05 21:35:55 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-05 21:35:55 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-05 21:35:55 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-05 21:35:55 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-05 21:35:55 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-05 21:35:55 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-05 21:35:55 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-05 21:35:56 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-05 21:35:56 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-05 21:35:56 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-05 21:35:56 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-05 21:35:57 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-05 21:35:57 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-05 21:35:57 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-05 21:35:57 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-05 21:36:00 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-05 21:36:00 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-05 21:36:00 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-05 21:36:00 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-05 21:36:04 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-05 21:36:04 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-05 21:36:04 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-05 21:36:04 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-05 21:36:07 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-05 21:36:07 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-05 21:36:07 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-05 21:36:07 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
