2025-07-05 23:45:54 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-05 23:45:54 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-05 23:45:54 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-05 23:45:54 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-05 23:45:54 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-05 23:45:55 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-05 23:45:55 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-05 23:45:55 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-05 23:45:55 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-05 23:45:56 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-05 23:45:56 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-05 23:45:56 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-05 23:45:56 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-05 23:45:56 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-05 23:45:56 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-05 23:45:56 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-05 23:45:56 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-05 23:45:57 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-05 23:45:57 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-05 23:45:57 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-05 23:45:57 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-05 23:46:01 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-05 23:46:01 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-05 23:46:01 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-05 23:46:01 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-05 23:46:05 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-05 23:46:05 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-05 23:46:05 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-05 23:46:05 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-05 23:46:08 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-05 23:46:08 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-05 23:46:08 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-05 23:46:08 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-05 23:46:53 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-05 23:46:53 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-05 23:46:53 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-05 23:46:53 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-05 23:46:53 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-05 23:46:53 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-05 23:46:53 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-05 23:46:54 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-05 23:46:54 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-05 23:46:54 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-05 23:46:54 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-05 23:46:54 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-05 23:46:55 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-05 23:46:55 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-05 23:46:55 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-05 23:46:55 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-05 23:46:56 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-05 23:46:56 | INFO     | __main__:get_account:46 - ex实例类型: %s
2025-07-05 23:46:56 | INFO     | __main__:get_account:48 - web_app.py用的BACKPACK_API_KEY: %s
2025-07-05 23:46:56 | INFO     | __main__:get_account:49 - web_app.py用的BACKPACK_API_SECRET: %s
2025-07-05 23:46:57 | INFO     | __main__:get_account:44 - 收到的exchange参数: %s
2025-07-05 23:46:57 | INFO     | __main__:get_account:46 - ex实例类型: %s
